"ID da resposta","Data de submissão","Última página","Idioma inicial","Semente","Data de início","Data da última acção","Introduza o seu ID de participante.  Chave para ID: Última letra do teu primeiro nome + Última letra do primeiro nome da tua mãe + mês de aniversário  Exemplo: João, Maria, Setembro = oa09 ","Escolha o ID da sessão","Quando o investigador indicar clique no botão ""Iniciar"".   Durante a improvisação poderá usar o botão ""Marcar"" para assinalar momentos relevantes.  No fim da improvisação clique no botão ""Terminar"".     MARCAR    Iniciar  Terminar       []","Quando o investigador indicar clique no botão ""Iniciar"".   Durante a improvisação poderá usar o botão ""Marcar"" para assinalar momentos relevantes.  No fim da improvisação clique no botão ""Terminar"".     MARCAR    Iniciar  Terminar       []","Quando o investigador indicar clique no botão ""Iniciar"".   Durante a improvisação poderá usar o botão ""Marcar"" para assinalar momentos relevantes.  No fim da improvisação clique no botão ""Terminar"".     MARCAR    Iniciar  Terminar       []","Quando o investigador indicar clique no botão ""Iniciar"".   Durante a improvisação poderá usar o botão ""Marcar"" para assinalar momentos relevantes.  No fim da improvisação clique no botão ""Terminar"".     MARCAR    Iniciar  Terminar       []","{((gravarsessao_fim-gravarsessao_inicio) / 1000)} ","Durante a sessão marcou {gravarsessao_count.shown} momentos.     Use o campo seguinte para descrever brevemente o que foi relevante em cada momento.  ","Por favor estime a duração desta improvisação. [minutos] [segundos] [][Escala 1]","Por favor estime a duração desta improvisação. [minutos] [segundos] [][Escala 2]","Durante esta improvisação...\ 												'); 			});	 		}); 	}    [quão lento/rápido passou o tempo?]","Quão fácil/difícil foi a execução da tarefa pedida?\ 												'); 			});	 		}); 	}    []","Quão aborrecida/interessante foi esta tarefa?\ 												'); 			});	 		}); 	}    []","Quão distraído(a) / concentrado(a) esteve nesta tarefa?\ 												'); 			});	 		}); 	}    []","Quão familiar era esta tarefa?\ 												'); 			});	 		}); 	}    []","Estive focado na performance musical.\ 												'); 			});	 		}); 	}    []","A minha atenção desviou-se para elementos da sala que não tinham relação com a performance musical.\ 												'); 			});	 		}); 	}    []","A minha atenção desviou-se para pensamentos não diretamente relacionados com a performance musical. \ 												'); 			});	 		}); 	}    []","Houve momentos em que a minha mente estava “em branco” ou sem qualquer tipo de pensamento ativo. \ 												'); 			});	 		}); 	}    []","Tive pensamentos ou preocupações relacionadas com aspetos secundários e interferentes da performance musical. \ 												'); 			});	 		}); 	}    []","Indique, por favor, qual dos seguintes estados mentais foi mais predominante neste take:"
"3","2025-02-03 16:39:35","5","pt","700985127","2025-02-03 16:33:35","2025-02-03 16:39:35","LA06","Grupo - B - Não familiar",,,,,"NAN",,"3 minutos","20 segundos","4","3.5","3.5","4","4.5","4.5","1","1.5","2","3","Estive focado na performance musical."
"4","2025-02-03 16:38:37","5","pt","1847374883","2025-02-03 16:33:38","2025-02-03 16:38:37","oa03","Grupo - B - Não familiar",,,,,"NAN",,"3 minutos","20 segundos","3","1.8","2","4.5","4.5","4","1","1.7","3","1.5","Estive focado na performance musical."
"5","2025-02-03 16:39:51","5","pt","986712179","2025-02-03 16:33:40","2025-02-03 16:39:51","oa07","Grupo - B - Não familiar",,,,,"NAN",,"3 minutos","37 segundos","3","1.5","4","3.5","4","4.5","1","1","5","1","Estive focado na performance musical."
"6","2025-02-03 16:37:32","5","pt","564415062","2025-02-03 16:33:56","2025-02-03 16:37:32","OA05","Solo - B - Não familiar",,,,,"NAN",,"2 minutos","58 segundos","3.8","1.4","3.7","3.7","3.8","3.6","1.6","1.7","1.8","2.2","Estive focado na performance musical."
"7","2025-02-03 16:47:26","5","pt","582930912","2025-02-03 16:44:17","2025-02-03 16:47:26","oa03","Grupo - A - Familiar",,,,,"NAN",,"4 minutos","0 segundos","3","1.4","3.5","2.7","5","3.4","1","1.3","4","1.8","Estive focado na performance musical."
"8","2025-02-03 16:47:13","5","pt","517383950","2025-02-03 16:44:20","2025-02-03 16:47:13","OA05","Solo - A - Familiar",,,,,"NAN",,"3 minutos","0 segundos","2.9","2","4","3.5","3.7","4.1","1.5","1.3","3.5","1.5","Estive focado na performance musical."
"9","2025-02-03 16:49:14","5","pt","2071589076","2025-02-03 16:44:42","2025-02-03 16:49:14","oa07","Grupo - A - Familiar",,,,,"NAN",,"3 minutos","15 segundos","3","2.1","3.9","4","3.3","4.7","1","1","5","1","Estive focado na performance musical."
"10","2025-02-03 16:47:37","5","pt","1696931538","2025-02-03 16:44:42","2025-02-03 16:47:37","LA06","Solo - A - Familiar",,,,,"NAN",,"4 minutos","0 segundos","4","1.5","5","5","5","5","1","1","1","4","Estive focado na performance musical."
"11","2025-02-03 16:56:56","5","pt","1293932503","2025-02-03 16:53:30","2025-02-03 16:56:56","oa07","Grupo - C - Livre",,,,,"NAN",,"4 minutos","20 segundos","3","3.4","5","5","4.2","5","1","1","1","1","A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo."
"12","2025-02-03 16:56:39","5","pt","455720955","2025-02-03 16:53:33","2025-02-03 16:56:39","OA05","Grupo - C - Livre",,,,,"NAN",,"4 minutos","50 segundos","4.8","1","4.7","4.7","5","4.7","1","1.4","4.2","1","Estive focado na performance musical."
"13","2025-02-03 16:57:09","5","pt","1886268383","2025-02-03 16:53:34","2025-02-03 16:57:09","oa03","Solo - C - Livre",,,,,"NAN",,"5 minutos","30 segundos","4.4","2","4.5","4.5","4","4.5","1","1","2","1","Estive focado na performance musical."
"14","2025-02-03 16:57:01","5","pt","1007617542","2025-02-03 16:53:37","2025-02-03 16:57:01","LA06","Grupo - C - Livre",,,,,"NAN",,"5 minutos","0 segundos","4.5","1.5","5","5","5","5","1","1","1.2","2","Estive focado na performance musical."
"15","2025-02-03 17:06:20","5","pt","1102900897","2025-02-03 17:03:58","2025-02-03 17:06:20","oa03","Solo - B - Não familiar",,,,,"NAN",,"4 minutos","0 segundos","1.8","3.7","4","2","1.5","2","1","4","1","4","Estive focado em aspetos secundários e interferentes da performance musical."
"16","2025-02-03 17:11:31","5","pt","211651372","2025-02-03 17:09:20","2025-02-03 17:11:31","oa03","Solo - A - Familiar",,,,,"NAN",,"3 minutos","30 segundos","4.5","3.5","4","4","3.5","4.2","1","1.5","2","1.5","Estive focado na performance musical."
"17","2025-02-03 17:17:26","5","pt","1849994015","2025-02-03 17:14:28","2025-02-03 17:17:26","oa03","Solo - C - Livre",,,,,"NAN",,"3 minutos","30 segundos","4","2","4","4.4","2.5","4","1","1.2","3.5","3","Estive focado na performance musical."
"18","2025-02-03 17:29:30","5","pt","24971129","2025-02-03 17:27:21","2025-02-03 17:29:30","LA06","Grupo - B - Não familiar",,,,,"NAN",,"3 minutos","0 segundos","2","3","1.5","3.5","3.5","4.5","1","1.5","2","1","Estive focado na performance musical."
"19","2025-02-03 17:36:28","5","pt","1734169539","2025-02-03 17:33:44","2025-02-03 17:36:28","LA06","Solo - A - Familiar",,,,,"NAN",,"3 minutos","40 segundos","4.5","1.5","4.5","4.5","5","4.5","1","1.5","1.5","2.5","Estive focado na performance musical."
"20","2025-02-03 17:41:09","5","pt","1166630692","2025-02-03 17:39:59","2025-02-03 17:41:09","LA06","Solo - C - Livre",,,,,"NAN",,"4 minutos","0 segundos","4.5","2","5","5","4.5","5","1","1","1.5","2.5","Estive focado na performance musical."
"21","2025-02-03 18:14:09","5","pt","1813495460","2025-02-03 18:12:27","2025-02-03 18:14:09","OA05","Solo - C - Livre",,,,,"NAN",,"2 minutos","0 segundos","2.3","2.4","3.7","2.3","5","2.9","2.1","2.5","2.9","4.5","Estive focado em aspetos secundários e interferentes da performance musical."
"22","2025-02-03 18:19:26","5","pt","775001170","2025-02-03 18:17:58","2025-02-03 18:19:26","OA05","Grupo - A - Familiar",,,,,"NAN",,"3 minutos","0 segundos","2.6","3.4","2.6","2.5","3.5","2.9","2.9","2.7","2.2","2.6","Estive focado em algo não diretamente relacionado com a performance musical."
"23","2025-02-03 18:23:58","5","pt","742406765","2025-02-03 18:22:43","2025-02-03 18:23:58","OA05","Solo - B - Não familiar",,,,,"NAN",,"3 minutos","0 segundos","2.9","3.5","2.5","3.2","3.6","3.6","4.1","2.5","2.6","4.2","Estive focado na performance musical."
"24","2025-02-03 18:37:14","5","pt","710439264","2025-02-03 18:32:45","2025-02-03 18:37:14","oa07","Solo - C - Livre",,,,,"NAN",,"3 minutos","51 segundos","2.9","2","5","4.1","4.5","5","1.4","1","5","1.4","A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo."
"25","2025-02-03 18:43:31","5","pt","860866593","2025-02-03 18:40:41","2025-02-03 18:43:31","oa07","Solo - B - Não familiar",,,,,"NAN",,"2 minutos","33 segundos","3.7","1.7","4","3.4","2.5","3.7","1","2.1","2.5","1","Estive focado na performance musical."
"26","2025-02-03 18:50:12","5","pt","934171076","2025-02-03 18:47:53","2025-02-03 18:50:12","oa07","Solo - A - Familiar",,,,,"NAN",,"3 minutos","57 segundos","3","2.1","5","5","4.3","5","1","1","1","1","Estive focado na performance musical."
"27","2025-02-04 12:09:21","5","pt","522319130","2025-02-04 12:04:52","2025-02-04 12:09:21","ea09","Solo - B - Não familiar",,,,,"NAN",,"2 minutos","17 segundos","3.5","1","5","4","5","4.3","1.4","1.5","4.3","1.7","Estive focado na performance musical."
"28","2025-02-04 12:17:38","5","pt","1299488793","2025-02-04 12:14:31","2025-02-04 12:17:38","ea09","Solo - A - Familiar",,,,,"NAN",,"2 minutos","36 segundos","3.1","2.4","2.7","4.7","5","4.3","1.1","1.1","1","1","Estive focado na performance musical."
"29","2025-02-04 12:30:33","5","pt","2123453281","2025-02-04 12:25:22","2025-02-04 12:30:33","ea09","Solo - C - Livre",,,,,"NAN",,"3 minutos","42 segundos","3.2","1","5","4.7","5","4.6","1.3","1.8","1","1.9","Estive focado na performance musical."
"30","2025-02-04 12:56:57","5","pt","1440371977","2025-02-04 12:27:40","2025-02-04 12:56:57","hh04","Grupo - C - Livre",,,,,"NAN",,"3 minutos","0 segundos","5","1.9","5","3.6","5","3.8","1.7","1.9","3.3","1.9","Estive focado na performance musical."
"31","2025-02-04 12:57:46","5","pt","1807605720","2025-02-04 12:52:03","2025-02-04 12:57:46","MM04","Grupo - C - Livre",,,,,"NAN",,"2 minutos","15 segundos","3","4","4.5","4.6","4","5","1","1.2","1","1.2","Estive focado na performance musical."
"32","2025-02-04 12:55:02","5","pt","1504670655","2025-02-04 12:52:20","2025-02-04 12:55:02","ea09","Grupo - C - Livre",,,,,"NAN",,"1 minutos","30 segundos","5","1.2","5","5","5","5","1","1","1","1.4","Estive focado na performance musical."
"33","2025-02-04 12:56:34","5","pt","421134874","2025-02-04 12:52:36","2025-02-04 12:56:34","BB04","Grupo - C - Livre",,,,,"NAN",,"2 minutos","0 segundos","3","1","5","5","5","4.2","1","1","1","1","Estive focado na performance musical."
"34","2025-02-04 13:07:16","5","pt","1648400236","2025-02-04 13:04:30","2025-02-04 13:07:16","ea09","Grupo - B - Não familiar",,,,,"NAN",,"3 minutos","0 segundos","3","1.6","3.8","5","4","4.9","1.2","1.3","1","1.1","Estive focado na performance musical."
"35","2025-02-04 13:07:24","5","pt","629990082","2025-02-04 13:04:35","2025-02-04 13:07:24","hh04","Grupo - B - Não familiar",,,,,"NAN",,"3 minutos","0 segundos","3.4","4","4.3","2.8","5","3.3","1","3.4","2.2","1.3","Estive focado na performance musical."
"36","2025-02-04 13:08:07","5","pt","8722201","2025-02-04 13:04:49","2025-02-04 13:08:07","MM04","Grupo - B - Não familiar",,,,,"NAN",,"3 minutos","0 segundos","2","3.7","4.3","5","5","4.7","1.5","1","1.3","1.5","Estive focado na performance musical."
"37","2025-02-04 13:09:21","5","pt","743277941","2025-02-04 13:06:27","2025-02-04 13:09:21","BB04","Grupo - B - Não familiar",,,,,"NAN",,"2 minutos","30 segundos","2.2","1.6","5","5","5","5","1","1","1","1","Estive focado na performance musical."
