id. ID da resposta;data_collection;submitdate. Data de submissão;seed. Semente;startdate. Data de início;datestamp. Data da última acção;ID de participante;Tipo de instrumento ;G01Q06. Escolha o ID da sessão;Assigned_group;Group-Solo;Type-improv;Real_duration(s);Duration_estimate[min.];Duration_estimate[sec.];PoT[slow/fast];difficulty[easy/difficult];engagementEmotional[boring/interesting];engagementAttention[distracted/focused];familiarity[unfamiliar/familiar];focoMusica[SQ001]. Estive focado na performance musical.;focoSala[SQ001]. A minha atenção desviou-se para elementos da sala que não tinham relação com a performance musical.;focoPensExter[SQ001]. A minha atenção desviou-se para pensamentos não diretamente relacionados com a performance musical.;Branco[SQ001]. Houve momentos em que a minha mente estava “em branco” ou sem qualquer tipo de pensamento ativo.;SecundarioMusica[SQ001]. Tive pensamentos ou preocupações relacionadas com aspetos secundários e interferentes da performance musical.;Probe2. Indique. por favor. qual dos seguintes estados mentais foi mais predominante neste take:;Formato audio
3;PJ;2025-02-03 16:39:35;700985127;2025-02-03 16:33:35;2025-02-03 16:39:35;LA06H;Harmonic;Grupo - B - Não familiar;Group0;Group;B;130;3;20;4;3.5;3.5;4;4.5;4.5;1;1.5;2;3;Estive focado na performance musical.;.mp3
4;PJ;2025-02-03 16:38:37;1847374883;2025-02-03 16:33:38;2025-02-03 16:38:37;oa03B;Bass;Grupo - B - Não familiar;Group0;Group;B;130;3;20;3;1.8;2;4.5;4.5;4;1;1.7;3;1.5;Estive focado na performance musical.;.mp3
5;PJ;2025-02-03 16:39:51;986712179;2025-02-03 16:33:40;2025-02-03 16:39:51;oa07D;Drum;Grupo - B - Não familiar;Group0;Group;B;130;3;37;3;1.5;4;3.5;4;4.5;1;1;5;1;Estive focado na performance musical.;.mp3
6;PJ;2025-02-03 16:37:32;564415062;2025-02-03 16:33:56;2025-02-03 16:37:32;OA05M;Melodic;Grupo - B - Não familiar;Group0;Group;B;130;2;58;3.8;1.4;3.7;3.7;3.8;3.6;1.6;1.7;1.8;2.2;Estive focado na performance musical.;.mp3
34;PJ;2025-02-04 13:07:16;1648400236;2025-02-04 13:04:30;2025-02-04 13:07:16;ea09D;Drum;Grupo - B - Não familiar;Group1;Group;B;170;3;0;3;1.6;3.8;5;4;4.9;1.2;1.3;1;1.1;Estive focado na performance musical.;.mp3
35;PJ;2025-02-04 13:07:24;629990082;2025-02-04 13:04:35;2025-02-04 13:07:24;hh04H;Harmonic;Grupo - B - Não familiar;Group1;Group;B;170;3;0;3.4;4;4.3;2.8;5;3.3;1;3.4;2.2;1.3;Estive focado na performance musical.;.mp3
36;PJ;2025-02-04 13:08:07;8722201;2025-02-04 13:04:49;2025-02-04 13:08:07;MM04M;Melodic;Grupo - B - Não familiar;Group1;Group;B;170;3;0;2;3.7;4.3;5;5;4.7;1.5;1;1.3;1.5;Estive focado na performance musical.;.mp3
37;PJ;2025-02-04 13:09:21;743277941;2025-02-04 13:06:27;2025-02-04 13:09:21;BB04B;Bass;Grupo - B - Não familiar;Group1;Group;B;170;2;30;2.2;1.6;5;5;5;5;1;1;1;1;Estive focado na performance musical.;.mp3
51;PJ;2025-02-04 16:13:20;1045871268;2025-02-04 15:49:26;2025-02-04 16:13:20;Oa08H;Harmonic;Grupo - B - Não familiar;Group2;Group;B;150;4;23;4;1.3;5;5;4;4.2;1;1;4.6;1;Estive focado na performance musical.;.mp3
52;PJ;2025-02-04 16:13:27;2026426015;2025-02-04 16:10:24;2025-02-04 16:13:27;oa11D;Drum;Grupo - B - Não familiar;Group2;Group;B;150;2;15;3.4;2;3.5;4;4;4;1.4;2.3;3.7;3.6;Estive focado na performance musical.;.mp3
53;PJ;2025-02-04 16:13:50;1040154010;2025-02-04 16:10:28;2025-02-04 16:13:50;Bb04tB;Bass;Grupo - B - Não familiar;Group2;Group;B;150;2;37;3.6;2;4.2;2;4.5;2.5;2.8;3.4;2.6;2;Estive focado em algo não diretamente relacionado com a performance musical.;.mp3
54;PJ;2025-02-04 16:17:22;1865568938;2025-02-04 16:14:35;2025-02-04 16:17:22;Ao07tM;Melodic;Grupo - B - Não familiar;Group2;Group;B;150;3;0;4;2;2.5;3;4;3.8;3.4;1.5;1.6;2;Estive focado na performance musical.;.mp3
173;JOBRA;2025-07-04 12:25:16;389046573;2025-07-04 12:22:58;2025-07-04 12:25:16;Jvoice9;Melodic;Grupo - B - Não familiar;Group7;Group;B;120;2;5;3.3;3.8;3.6;3.9;2.3;4.4;1.9;2.0;2.1;2.0;Estive focado em aspetos secundários e interferentes da performance musical.;.m4a
174;JOBRA;2025-07-04 12:25:12;892936562;2025-07-04 12:22:59;2025-07-04 12:25:12;Jdrum7;Drum;Grupo - B - Não familiar;Group7;Group;B;120;2;45;2.2;2.6;1.7;4.1;5.0;5.0;1.3;4.4;5.0;1.9;Estive focado em algo não diretamente relacionado com a performance musical.;.m4a
175;JOBRA;2025-07-04 12:25:18;1903774885;2025-07-04 12:23:05;2025-07-04 12:25:18;Jguitar7;Harmonic;Grupo - B - Não familiar;Group7;Group;B;120;3;19;2.4;2.5;4.0;4.5;1.2;4.0;1.0;1.0;1.6;1.0;Estive focado na performance musical.;.m4a
