ID da resposta;Data de submissão;Última página;Idioma inicial;Semente;Data de início;Data da última acção;ID;Age;Sex;Género [Outro];Nível de formação musical (indica o nível mais elevado que obtiveste);Nível de formação musical (indica o nível mais elevado que obtiveste) [Outro];Se te encontras a estudar, frequentas algum curso de música?;Anos de instrução formal na prática de um instrumento musical (incluindo a voz);Anos de prática regular de um instrumento musical (incluindo a voz);Anos de instrução formal em teoria musical;Anos de prática improvisatória;Horas de prática musical por dia (média);Número aproximado de performances/atuações jazz ao vivo ;Número aproximado de performances/atuações musicais ao vivo;Género musical dominante;Género musical dominante [Outro]; [A minha mente desliga-se frequentemente daquilo que me rodeia]; [Enquanto realizo uma tarefa, a minha mente está frequentemente a pensar noutras coisas]; [Estou frequentemente absorvido com os meus próprios pensamentos]; [Os meus pensamentos viajam frequentemente no tempo (pensando no passado ou futuro)]; [Imagino frequentemente que estou num outro lugar]; [Imagino frequentemente o que os outros estão a pensar ou sentir]; [Os meus pensamentos parecem ter uma vida própria]; [Os meus pensamentos saltam facilmente de um assunto para o outro]; [O conteúdo dos meus pensamentos é muito variado]; [Passo grande parte do dia a sonhar acordado]; [Tenho curiosidade por estilos musicais que não me são familiares, e quero saber mais sobre eles.]; [Dificilmente consigo detetar erros na interpretação de uma canção, mesmo quando conheço a melodia.]; [Consigo perceber quando alguém está a cantar ou tocar fora de tempo.]; [Consigo comparar e discutir diferenças entre duas versões ou interpretações da mesma peça de música.]; [Frequentemente escolho certas músicas para me motivar ou estimular.]; [A música raramente desperta emoções em mim.]; [Depois de ouvir uma canção nova duas ou três vezes, em geral consigo cantá-la sem ajuda.]; [Consigo acertar nas notas quando canto com uma gravação.];Com qual das seguintes definições de criatividade mais te identificas? Escolhe apenas uma opção. Não há respostas certas ou erradas.;Com qual das seguintes definições de criatividade mais te identificas? Escolhe apenas uma opção. Não há respostas certas ou erradas. [Outro]
3;2025-02-03 18:24:30;5;pt;1548506725;2025-02-03 17:19:02;2025-02-03 18:24:30;oa07D;29;Masculino;;Outro;Mestrado em Ensino de Música, ramo Jazz na vertente de Bateria, ESMAE;Sim;21;≈10;16;12;4;Cerca de 400+;Cerca de 700+;Jazz;;Discordo;Discordo;Concordo;Concordo;Discordo Totalmente;Discordo Totalmente;Concordo;Discordo;Concordo Totalmente;Discordo;Concordo;Não concordo nem discordo;Concordo bastante;Concordo bastante;Discordo bastante;Discordo;Não concordo nem discordo;Não concordo nem discordo;Outro;A criatividade simplesmente é. Existe em todos nós, mas nem todos sabem como geri-la ou compreende-la.da-nos confiança e tanto pode vir de algo novo como usado. Na verdade muitas vezes, ambas se misturam ao original algo diferente.
4;2025-02-03 17:31:04;5;pt;1684837189;2025-02-03 17:23:13;2025-02-03 17:31:04;oa03B;35;Masculino;;Licenciatura em música (1º ciclo);;Não;17;17;14;14;5;110;110;Jazz;;Discordo;Discordo;Concordo;Concordo;Discordo Totalmente;Discordo;Discordo Totalmente;Discordo;Discordo;Discordo;Não concordo nem discordo;Discordo bastante;Concordo totalmente;Concordo bastante;Não concordo nem discordo;Discordo totalmente;Não concordo nem discordo;Não concordo nem discordo;A criatividade é a expressão de algo novo/original e apropriado ao contexto em que esta expressão ocorre;
5;2025-02-03 17:32:49;5;pt;1717843561;2025-02-03 17:24:24;2025-02-03 17:32:49;OA05M;26;Masculino;;Licenciatura em música (1º ciclo);;Não;18 anos;18 anos;18 anos;12 anos;3 horas;entre 70 a 100 por ano;entre 70 a 100 por ano;Outro;Jazz e improv music;Concordo;Discordo;Concordo;Concordo;Discordo;Discordo;Concordo;Concordo;Discordo;Discordo;Concordo;Discordo bastante;Concordo;Concordo;Concordo;Discordo totalmente;Não concordo nem discordo;Não concordo nem discordo;A criatividade é a expressão de uma nova combinação mental;
6;2025-02-03 18:30:29;5;pt;1944482040;2025-02-03 17:33:36;2025-02-03 18:30:29;LA06H;26;Masculino;;Licenciatura em música (1º ciclo);;Não;15;22;10;12;3;450;500;Jazz;;Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo Totalmente;Discordo;Concordo;Concordo;Concordo bastante;Discordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Discordo totalmente;Concordo bastante;Concordo totalmente;A criatividade é a expressão de algo novo/original;
7;2025-02-04 12:22:29;5;pt;655380995;2025-02-04 12:04:21;2025-02-04 12:22:29;MM04M;29;Masculino;;Licenciatura em música (1º ciclo);;Não;13;15;13;8;2;200;400;Jazz;;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo Totalmente;Discordo;Discordo;Concordo Totalmente;Concordo;Concordo bastante;Discordo bastante;Concordo bastante;Concordo;Concordo totalmente;Discordo bastante;Concordo;Discordo;A criatividade é a expressão de uma nova combinação mental;
8;2025-02-04 12:25:32;5;pt;1749008681;2025-02-04 12:04:38;2025-02-04 12:25:32;BB04B;33;Masculino;;Licenciatura em música (1º ciclo);;Não;8;17;5;17;7;250;100;Jazz;;Concordo;Discordo;Concordo;Concordo;Discordo Totalmente;Discordo;Concordo;Concordo;Concordo;Discordo Totalmente;Concordo bastante;Discordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Discordo totalmente;Concordo;Concordo totalmente;A criatividade é a expressão de algo novo/original e apropriado ao contexto em que esta expressão ocorre;
9;2025-02-04 13:39:08;5;pt;368773427;2025-02-04 12:30:12;2025-02-04 13:39:08;hh04H;27;Masculino;;Licenciatura em música (1º ciclo);;Não;16 anos;16 anos;7 anos;7 anos;1/2 horas;200;300;Jazz;;Concordo;Concordo;Concordo Totalmente;Concordo;Concordo;Discordo;Concordo;Concordo;Concordo;Concordo;Concordo bastante;Discordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Discordo totalmente;Concordo bastante;Concordo totalmente;A criatividade é a expressão de algo novo/original;
10;2025-02-04 16:15:10;5;pt;1933489699;2025-02-04 15:48:44;2025-02-04 16:15:10;ea09D;29;Masculino;;Licenciatura em música (1º ciclo);;Não;22;22;22;15;30min;250;800;Pop music;;Discordo;Discordo;Discordo;Concordo;Discordo;Discordo;Discordo;Discordo;Concordo;Discordo Totalmente;Não concordo nem discordo;Discordo bastante;Concordo totalmente;Concordo bastante;Concordo totalmente;Discordo totalmente;Concordo;Concordo bastante;A criatividade é a expressão de algo novo/original e apropriado ao contexto em que esta expressão ocorre;
11;2025-02-04 17:24:28;5;pt;133915263;2025-02-04 16:10:48;2025-02-04 17:24:28;Ao07tM;23;Masculino;;Licenciatura em música (1º ciclo);;Sim;11;14;11;6;2;150;50;Jazz;;Discordo Totalmente;Discordo Totalmente;Concordo;Concordo;Discordo;Concordo;Discordo;Concordo;Concordo;Discordo;Concordo bastante;Discordo;Concordo totalmente;Concordo;Concordo bastante;Discordo totalmente;Discordo;Concordo;A criatividade é a expressão de uma nova combinação mental;
12;2025-02-04 16:52:04;5;pt;1353549209;2025-02-04 16:43:00;2025-02-04 16:52:04;oa11D;29;Masculino;;Licenciatura em música (1º ciclo);;Não;5;15;5;9;3;250;600;Jazz;;Concordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Concordo;Discordo;Concordo bastante;Discordo;Concordo bastante;Concordo;Concordo bastante;Discordo totalmente;Não concordo nem discordo;Concordo;A criatividade é a expressão de algo novo/original e apropriado ao contexto em que esta expressão ocorre;
